gene;locus_tag;product
NA;NWMN_0489;N-terminal deoxyribonuclease
gltX;NWMN_0490;glutamyl-tRNA synthetase
cysE;NWMN_0491;serine acetyltransferase
cysS;NWMN_0492;cysteinyl-tRNA synthetase
NA;NWMN_0493;conserved hypothetical protein
NA;NWMN_0494;conserved hypothetical protein
NA;NWMN_0495;conserved hypothetical protein
NA;NWMN_0496;conserved hypothetical protein
secE;NWMN_0497;membrane translocase subunit SecE
nusG;NWMN_0498;transcription antitermination protein
rplK;NWMN_0499;50S ribosomal protein L11
rplA;NWMN_0500;50S ribosomal protein L1
rplJ;NWMN_0501;50S ribosomal protein L10
rplL;NWMN_0502;50S ribosomal protein L7
NA;NWMN_0503;conserved hypothetical protein
rpoB;NWMN_0504;DNA-directed RNA polymerase beta chain
rpoC;NWMN_0505;DNA-directed RNA polymerase beta' chain protein
NA;NWMN_0506;conserved hypothetical protein
rpsL;NWMN_0507;30S ribosomal protein S12
rpsG;NWMN_0508;30S ribosomal protein S7
fus;NWMN_0509;translation elongation factor G (EF-G)
tufA;NWMN_0510;translation elongation factor Tu (EF-Tu)
NA;NWMN_0511;conserved hypothetical protein
NA;NWMN_0512;conserved hypothetical protein
NA;NWMN_0513;conserved hypothetical protein
araB;NWMN_0514;L-ribulokinase
capD;NWMN_0515;polysaccharide biosynthesis protein CapD
ilvE;NWMN_0516;branched-chain-amino-acid aminotransferase
NA;NWMN_0517;haloacid dehalogenase-like hydrolase
NA;NWMN_0518;conserved hypothetical protein
NA;NWMN_0519;deoxynucleoside kinase
NA;NWMN_0520;conserved hypothetical protein
NA;NWMN_0521;hydrolase%2C haloacid dehalogenase-like protein
NA;NWMN_0522;conserved hypothetical protein
sdrC;NWMN_0523;Ser-Asp rich fibrinogen/bone sialoprotein-binding protein SdrC
sdrD;NWMN_0524;Ser-Asp rich fibrinogen/bone sialoprotein-binding protein sdrD
sdrE;NWMN_0525;Ser-Asp rich fibrinogen/bone sialoprotein-binding protein SdrE
NA;NWMN_0526;conserved hypothetical protein
NA;NWMN_0527;glycosyl transferase%2C group 1 family protein
NA;NWMN_0528;conserved hypothetical protein
NA;NWMN_0529;conserved hypothetical protein
NA;NWMN_0530;conserved hypothetical protein
NA;NWMN_0531;conserved hypothetical protein
